X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
3,5,7,5,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0
2,5,1,3,94.9,130.3,587.1,14.1,33.1,25,4.0,0.0
4,4,11,3,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0
4,4,1,0,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0
8,3,11,4,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0
4,5,11,4,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0
8,4,1,2,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0
7,4,10,5,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0
6,5,11,6,92.6,115.4,777.1,8.8,24.3,27,4.9,0.0
7,4,6,3,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0
4,4,11,4,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0
5,4,11,4,92.8,119.0,783.5,7.5,21.6,28,6.3,0.0
8,6,1,1,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0
2,4,7,5,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0
1,2,1,6,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0
1,2,11,4,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0
7,4,11,0,92.1,99.0,745.3,9.6,20.6,43,3.6,0.0
7,4,5,3,93.7,101.3,423.4,14.7,18.2,82,4.5,0.0
4,4,0,0,83.0,23.3,85.3,2.3,16.7,20,3.1,0.0
4,4,1,6,95.1,141.3,605.8,17.7,20.6,58,1.3,0.0
4,3,8,0,89.6,25.4,73.7,5.7,18.0,40,4.0,0.0
4,4,7,2,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0
2,2,11,0,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0
4,4,11,4,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0
1,2,1,2,93.7,231.1,715.1,8.4,25.9,32,3.1,0.0
7,5,1,2,93.7,231.1,715.1,8.4,26.4,33,3.6,0.0
2,4,11,2,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0
4,4,1,6,95.1,141.3,605.8,17.7,28.7,33,4.0,0.0
6,5,1,6,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0
4,5,3,3,85.0,9.0,56.9,3.5,10.1,62,1.8,0.0
6,5,7,4,91.3,20.6,43.5,8.5,13.3,27,3.6,0.0
9,9,1,0,94.8,227.0,706.7,12.0,25.0,36,4.0,0.0
6,3,11,0,92.5,122.0,789.7,10.2,15.9,55,3.6,0.0
6,3,1,4,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0
4,4,2,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0
2,5,11,6,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0
6,5,2,5,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0
7,4,3,1,84.7,9.5,58.3,4.1,7.5,71,6.3,0.0
1,2,1,0,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0
1,2,11,5,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0
4,5,11,0,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0
2,5,1,2,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0
2,5,10,3,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0
2,5,1,6,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0
5,4,7,0,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0
8,6,1,3,91.4,142.4,601.4,10.6,19.6,41,5.8,0.0
7,4,10,0,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0
